案件編號,查報日期,來源編號,查報地點,損壞情況,損壞狀況
111091509916, 111/09/15 00:00,中山巡1110905675,中山區八德路2段210巷7號,龜裂,觀察
111091509918, 111/09/15 00:00,中山巡1110905676,中山區八德路2段210巷7號,縱向及橫向裂縫,觀察
111091509921, 111/09/15 00:00,中山巡1110905677,中山區八德路2段174巷11弄10號,縱向及橫向裂縫,觀察
111091509923, 111/09/15 00:00,中山巡1110905678,中山區八德路2段174巷9弄4號,縱向及橫向裂縫,觀察
111091509924, 111/09/15 00:00,橋涵巡1110901250,中山區建國高架-往南建國南路3段86巷前方車格73上方,其他,觀察
111091509941, 111/09/15 00:00,中山巡1110905790,中山區基湖路166號,龜裂,觀察
111091509948, 111/09/15 00:00,中山巡1110905680,中山區八德路2段210巷6號對面,側溝蓋破損,觀察
111091509950, 111/09/15 00:00,中山巡1110905681,中山區八德路2段174巷7弄3號,車道與路肩分離,觀察
111091509952, 111/09/15 00:00,中山巡1110905682,中山區八德路2段174巷5號,側溝蓋破損,觀察
111091509954, 111/09/15 00:00,中山巡1110905683,中山區八德路2段174巷11弄2號,人手孔缺失,觀察
111091509956, 111/09/15 00:00,中山巡1110905684,中山區安東街16巷34-1號,縱向及橫向裂縫,觀察
111091509958, 111/09/15 00:00,中山巡1110905685,中山區安東街16巷32號,補綻及管線回填,觀察
111091509971, 111/09/15 00:00,中山巡1110905793,中山區基湖路135號,龜裂,觀察
111091509975, 111/09/15 00:00,中山巡1110905794,中山區基湖路112號,龜裂,觀察
111091509978, 111/09/15 00:00,中山巡1110905795,中山區八德路2段312巷50弄15號,側溝蓋破損,觀察
111091509982, 111/09/15 00:00,中山巡1110905796,中山區基湖路166號,龜裂,觀察
111091509988, 111/09/15 00:00,中山巡1110905688,中山區安東街16巷21號,補綻及管線回填,觀察
111091510013, 111/09/15 00:00,中山巡1110905800,中山區八德路2段300巷80號,鋪面破損,觀察
111091510024, 111/09/15 00:00,中山巡1110905804,中山區植福路26號,龜裂,觀察
111091510034, 111/09/15 00:00,中山巡1110905695,中山區安東街16巷13弄3號,孔蓋周邊破損,觀察
111091510039, 111/09/15 00:00,中山巡1110905697,中山區八德路2段220號,縱向及橫向裂縫,觀察
111091510042, 111/09/15 00:00,中山巡1110905698,中山區八德路二段218巷1號,縱向及橫向裂縫,觀察
111091510047, 111/09/15 00:00,中山巡1110905805,中山區復興南路1段40號,側溝蓋破損,觀察
111091510050, 111/09/15 00:00,中山巡1110905806,中山區復興南路1段44號,鋪面鬆動,觀察
111091510061, 111/09/15 00:00,中山巡1110905810,中山區民權西路27號,縱向及橫向裂縫,觀察
111091510064, 111/09/15 00:00,中山巡1110905811,中山區敬業四路100號,龜裂,觀察
111091510082, 111/09/15 00:00,中山巡1110905703,中山區八德路2段220號,縱向及橫向裂縫,觀察
111091510084, 111/09/15 00:00,中山巡1110905704,中山區八德路2段228號,縱向及橫向裂縫,觀察
111091510086, 111/09/15 00:00,中山巡1110905705,中山區八德路2段226號,側溝蓋破損,觀察
111091510091, 111/09/15 00:00,中山巡1110905813,中山區民權西路81號,龜裂,觀察
111091510098, 111/09/15 00:00,中山巡1110905815,中山區植福路286巷288號,龜裂,觀察
111091510103, 111/09/15 00:00,中山巡1110905817,中山區樂群二路265巷20號,龜裂,觀察
111091510107, 111/09/15 00:00,中山巡1110905818,中山區敬業四路166號,龜裂,觀察
